algo,n,mode,seed,time_limit,status,cost,opt_cost,rel_error,elapsed,iterations,opt_cost_bench,rel_error_bench,rel_error_ref,algo_display
hungarian_scipy,100,uniform,3,,ok,1.4626912665295322,1.462691,1.822186177502516e-07,0.0,,1.4626912665295322,0.0,unlimited_hungarian,Венгерский SciPy
greedy,100,uniform,3,,ok,4.105827207661571,1.462691,1.8070366247290583,0.0,,1.4626912665295322,1.8070361132348176,unlimited_hungarian,Жадный
aco,100,uniform,4,250.0,ok,1.8207473800773488,1.460538,0.24662787279574294,18.631351470947266,200.0,1.460537694294736,0.2466281337275248,unlimited_hungarian,Муравьиный алг-м
hungarian_manual,100,uniform,4,250.0,ok,1.460537694294736,1.460538,-2.09310037857513e-07,0.0625035762786865,767.0,1.460537694294736,0.0,unlimited_hungarian,Венгерский
hungarian_scipy,100,uniform,4,,ok,1.460537694294736,1.460538,-2.09310037857513e-07,0.0,,1.460537694294736,0.0,unlimited_hungarian,Венгерский SciPy
greedy,100,uniform,4,,ok,3.845671167945393,1.460538,1.6330510866169816,0.015625,,1.460537694294736,1.6330516377411195,unlimited_hungarian,Жадный
aco,300,uniform,0,250.0,ok,3.197077847175983,1.711219,0.8683043182526509,97.06004214286804,150.0,1.7112191994198425,0.8683041005266267,unlimited_hungarian,Муравьиный алг-м
hungarian_manual,300,uniform,0,250.0,ok,1.7112191994198425,1.711219,1.1653671583289338e-07,1.2819578647613523,4852.0,1.7112191994198425,0.0,unlimited_hungarian,Венгерский
hungarian_scipy,300,uniform,0,,ok,1.7112191994198425,1.711219,1.1653671583289338e-07,0.0,,1.7112191994198425,0.0,unlimited_hungarian,Венгерский SciPy
greedy,300,uniform,0,,ok,5.260889576171588,1.711219,2.0743520123208006,0.0936057567596435,,1.7112191994198425,2.0743516540459552,unlimited_hungarian,Жадный
aco,300,uniform,1,250.0,ok,2.884328381646904,1.628451,0.7712098071399776,101.0343301296234,150.0,1.6284514089738351,0.7712093623133995,unlimited_hungarian,Муравьиный алг-м
hungarian_manual,300,uniform,1,250.0,ok,1.6284514089738351,1.628451,2.5114285606697706e-07,1.109837770462036,4056.0,1.6284514089738351,0.0,unlimited_hungarian,Венгерский
hungarian_scipy,300,uniform,1,,ok,1.6284514089738351,1.628451,2.5114285606697706e-07,0.0,,1.6284514089738351,0.0,unlimited_hungarian,Венгерский SciPy
greedy,300,uniform,1,,ok,5.549148141772161,1.628451,2.4076236508019955,0.1094570159912109,,1.6284514089738351,2.407622795001874,unlimited_hungarian,Жадный
aco,300,uniform,2,250.0,ok,3.268614640559429,1.628006,1.0077411511747676,98.8258330821991,150.0,1.6280057887700177,1.0077414116745342,unlimited_hungarian,Муравьиный алг-м
hungarian_manual,300,uniform,2,250.0,ok,1.6280057887700177,1.628006,-1.2974766827600348e-07,0.8593418598175049,3195.0,1.6280057887700177,0.0,unlimited_hungarian,Венгерский
hungarian_scipy,300,uniform,2,,ok,1.6280057887700177,1.628006,-1.2974766827600348e-07,0.0,,1.6280057887700177,0.0,unlimited_hungarian,Венгерский SciPy
greedy,300,uniform,2,,ok,5.367730682128529,1.628006,2.2971197170824484,0.0940849781036377,,1.6280057887700177,2.297120144876099,unlimited_hungarian,Жадный
aco,300,uniform,3,250.0,ok,2.82309010136327,1.497873,0.8847326184284448,96.8836579322815,150.0,1.4978734496632655,0.8847320526296288,unlimited_hungarian,Муравьиный алг-м
hungarian_manual,300,uniform,3,250.0,ok,1.4978734496632655,1.497873,3.0020119567986114e-07,0.7343769073486328,2593.0,1.4978734496632655,0.0,unlimited_hungarian,Венгерский
hungarian_scipy,300,uniform,3,,ok,1.4978734496632655,1.497873,3.0020119567986114e-07,0.0,,1.4978734496632655,0.0,unlimited_hungarian,Венгерский SciPy
greedy,300,uniform,3,,ok,4.433063341908943,1.497873,1.9595722347014353,0.0937774181365966,,1.4978734496632655,1.9595713462345776,unlimited_hungarian,Жадный
aco,300,uniform,4,250.0,ok,3.1340461920244747,1.640847,0.9100173215567782,99.06313943862916,150.0,1.6408474603248129,0.9100167857188118,unlimited_hungarian,Муравьиный алг-м
hungarian_manual,300,uniform,4,250.0,ok,1.6408474603248129,1.640847,2.8054097245266973e-07,0.7658119201660156,2768.0,1.6408474603248129,0.0,unlimited_hungarian,Венгерский
hungarian_scipy,300,uniform,4,,ok,1.6408474603248129,1.640847,2.8054097245266973e-07,0.0,,1.6408474603248129,0.0,unlimited_hungarian,Венгерский SciPy
