algo,n,mode,seed,time_limit,status,cost,opt_cost,rel_error,elapsed,iterations,opt_cost_bench,rel_error_bench,rel_error_ref,algo_display,exp_mode
hungarian_manual,300,uniform,4,250.0,ok,1.6408474603248129,1.640847,2.8054097245266973e-07,0.7663331031799316,2768.0,1.6408474603248129,0.0,unlimited_hungarian,Венгерский,modeA
hungarian_scipy,300,uniform,4,,ok,1.6408474603248129,1.640847,2.8054097245266973e-07,0.0,,1.6408474603248129,0.0,unlimited_hungarian,Венгерский SciPy,modeA
greedy,300,uniform,4,,ok,4.964668980659476,1.640847,2.025674533127998,0.0781269073486328,,1.6408474603248129,2.02567368430256,unlimited_hungarian,Жадный,modeA
aco,500,uniform,0,250.0,ok,4.492897603187409,1.610976,1.7889289493992515,250.1094422340393,37.0,1.610976294335256,1.7889284398448158,unlimited_hungarian,Муравьиный алг-м,modeA
hungarian_manual,500,uniform,0,250.0,ok,1.610976294335256,1.610976,1.8270617063720354e-07,3.751730442047119,8213.0,1.610976294335256,0.0,unlimited_hungarian,Венгерский,modeA
hungarian_scipy,500,uniform,0,,ok,1.610976294335256,1.610976,1.8270617063720354e-07,0.0,,1.610976294335256,0.0,unlimited_hungarian,Венгерский SciPy,modeA
greedy,500,uniform,0,,ok,5.336025433528437,1.610976,2.312293562119136,0.2969174385070801,,1.610976294335256,2.3122929569427737,unlimited_hungarian,Жадный,modeA
aco,500,uniform,1,250.0,ok,4.441049798455889,1.641463,1.705543651276873,250.1372821331024,38.0,1.641463112646663,1.705543465606868,unlimited_hungarian,Муравьиный алг-м,modeA
hungarian_manual,500,uniform,1,250.0,ok,1.641463112646663,1.641463,6.862577039967732e-08,3.268723249435425,7200.0,1.641463112646663,0.0,unlimited_hungarian,Венгерский,modeA
hungarian_scipy,500,uniform,1,,ok,1.641463112646663,1.641463,6.862577039967732e-08,0.0,,1.641463112646663,0.0,unlimited_hungarian,Венгерский SciPy,modeA
greedy,500,uniform,1,,ok,4.649550809041362,1.641463,1.8325651014012272,0.2815444469451904,,1.641463112646663,1.832564907014278,unlimited_hungarian,Жадный,modeA
aco,500,uniform,2,250.0,ok,4.3543305657435045,1.615248,1.6957659540476169,250.195458650589,38.0,1.615247646605878,1.695766543844385,unlimited_hungarian,Муравьиный алг-м,modeA
hungarian_manual,500,uniform,2,250.0,ok,1.615247646605878,1.615248,-2.1878629286042894e-07,3.5703930854797363,7745.0,1.615247646605878,0.0,unlimited_hungarian,Венгерский,modeA
hungarian_scipy,500,uniform,2,,ok,1.615247646605878,1.615248,-2.1878629286042894e-07,0.0156621932983398,,1.615247646605878,0.0,unlimited_hungarian,Венгерский SciPy,modeA
greedy,500,uniform,2,,ok,5.433739452139351,1.615248,2.364027971023243,0.3836631774902344,,1.615247646605878,2.3640287070266126,unlimited_hungarian,Жадный,modeA
aco,500,uniform,3,250.0,ok,4.642766402004719,1.592993,1.914492657535042,250.03004479408264,37.0,1.5929932572247831,1.914492186924298,unlimited_hungarian,Муравьиный алг-м,modeA
hungarian_manual,500,uniform,3,250.0,ok,1.5929932572247831,1.592993,1.6147263859345173e-07,3.5644750595092773,7919.0,1.5929932572247831,0.0,unlimited_hungarian,Венгерский,modeA
hungarian_scipy,500,uniform,3,,ok,1.5929932572247831,1.592993,1.6147263859345173e-07,0.0156662464141845,,1.5929932572247831,0.0,unlimited_hungarian,Венгерский SciPy,modeA
greedy,500,uniform,3,,ok,5.603580899149696,1.592993,2.517643140396534,0.2812438011169433,,1.5929932572247831,2.517642572393506,unlimited_hungarian,Жадный,modeA
aco,500,uniform,4,250.0,ok,4.465193316633578,1.724703,1.5889636167117345,250.22249555587769,38.0,1.7247032213784608,1.5889632843990364,unlimited_hungarian,Муравьиный алг-м,modeA
